timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_count,bytes,flag
1773321238.435492000,10.0.0.3,10.0.0.1,ARP,,,1,42,1
1773321255.525730000,10.0.0.3,10.0.0.2,ARP,,,1,42,1
1773321268.096492000,10.0.0.3,10.0.0.4,ARP,,,1,42,1
1773321268.101291000,10.0.0.4,10.0.0.3,ARP,,,1,42,2
1773321268.106238000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.108377000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.109962000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.110968000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.115999000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.116023000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.127934000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.127984000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.139072000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.139087000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.150979000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.150992000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.162081000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.162096000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.173030000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.173064000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.183990000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.184006000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.195077000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.195106000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.206090000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.206113000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.217025000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.217050000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.228021000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.228043000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.239016000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.239033000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.250002000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.250017000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.261970000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.261981000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.274035000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.274064000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.286124000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.286141000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.297011000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.297040000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.308037000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.308054000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.319027000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
1773321268.319061000,10.0.0.4,10.0.0.3,ICMP,,,1,98,0
1773321268.331017000,10.0.0.3,10.0.0.4,ICMP,,,1,98,8
