timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_count,bytes,flag
1773317555.754971000,fe80::589b:92ff:febb:ea38,ff02::2,ICMPv6,,,1,70,133
1773317556.270874000,fe80::c013:61ff:fe4f:6617,ff02::2,ICMPv6,,,1,70,133
1773317556.782072000,fe80::b87a:55ff:fe9b:aaa1,ff02::2,ICMPv6,,,1,70,133
1773317557.297747000,fe80::501d:bbff:fe90:3cbd,ff02::fb,MDNS,5353,5353,1,107,
1773317558.124065000,fe80::589b:92ff:febb:ea38,ff02::fb,MDNS,5353,5353,1,107,
1773317559.341834000,fe80::6c2d:ccff:fe6e:303e,ff02::2,ICMPv6,,,1,70,133
1773317575.847999000,10.0.0.1,10.0.0.4,ARP,,,1,42,1
1773317575.852206000,10.0.0.4,10.0.0.1,ARP,,,1,42,2
1773317575.855930000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773317575.858066000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773317576.848666000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773317576.848974000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773317577.899173000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773317577.899216000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773317578.923144000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773317578.923189000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773317579.947140000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773317579.947184000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773317580.971125000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773317580.971173000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773317581.355443000,10.0.0.4,10.0.0.1,ARP,,,1,42,1
1773317581.355906000,10.0.0.1,10.0.0.4,ARP,,,1,42,2
1773317581.995214000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773317581.995251000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773317583.019187000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773317583.019224000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773317584.043064000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773317584.043103000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773317584.942099000,fe80::cc48:60ff:feea:fe3a,ff02::2,ICMPv6,,,1,70,133
1773317585.067239000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773317585.067280000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773317585.451075000,fe80::501d:bbff:fe90:3cbd,ff02::2,ICMPv6,,,1,70,133
1773317586.475089000,fe80::589b:92ff:febb:ea38,ff02::2,ICMPv6,,,1,70,133
1773317588.014581000,fe80::c013:61ff:fe4f:6617,ff02::2,ICMPv6,,,1,70,133
1773317589.038184000,fe80::88ca:aeff:feb7:b1a6,ff02::2,ICMPv6,,,1,70,133
1773317589.304525000,fe80::501d:bbff:fe90:3cbd,ff02::fb,MDNS,5353,5353,1,107,
1773317590.124114000,fe80::589b:92ff:febb:ea38,ff02::fb,MDNS,5353,5353,1,107,
1773317593.133790000,fe80::b87a:55ff:fe9b:aaa1,ff02::2,ICMPv6,,,1,70,133
1773317593.829194000,10.0.0.2,10.0.0.4,ARP,,,1,42,1
1773317593.833596000,10.0.0.4,10.0.0.2,ARP,,,1,42,2
1773317593.836889000,10.0.0.2,10.0.0.4,ICMP,,,1,98,8
1773317593.838597000,10.0.0.4,10.0.0.2,ICMP,,,1,98,0
1773317594.828513000,10.0.0.2,10.0.0.4,ICMP,,,1,98,8
1773317594.828569000,10.0.0.4,10.0.0.2,ICMP,,,1,98,0
1773317595.883032000,10.0.0.2,10.0.0.4,ICMP,,,1,98,8
1773317595.883067000,10.0.0.4,10.0.0.2,ICMP,,,1,98,0
1773317596.907063000,10.0.0.2,10.0.0.4,ICMP,,,1,98,8
1773317596.907108000,10.0.0.4,10.0.0.2,ICMP,,,1,98,0
1773317597.229653000,fe80::6c2d:ccff:fe6e:303e,ff02::2,ICMPv6,,,1,70,133
1773317597.931090000,10.0.0.2,10.0.0.4,ICMP,,,1,98,8
1773317597.931107000,10.0.0.4,10.0.0.2,ICMP,,,1,98,0
1773317598.955218000,10.0.0.2,10.0.0.4,ICMP,,,1,98,8
1773317598.955260000,10.0.0.4,10.0.0.2,ICMP,,,1,98,0
1773317599.275058000,10.0.0.4,10.0.0.2,ARP,,,1,42,1
1773317599.275491000,10.0.0.2,10.0.0.4,ARP,,,1,42,2
1773317599.979057000,10.0.0.2,10.0.0.4,ICMP,,,1,98,8
1773317599.979101000,10.0.0.4,10.0.0.2,ICMP,,,1,98,0
1773317601.003188000,10.0.0.2,10.0.0.4,ICMP,,,1,98,8
1773317601.003230000,10.0.0.4,10.0.0.2,ICMP,,,1,98,0
1773317602.027480000,10.0.0.2,10.0.0.4,ICMP,,,1,98,8
1773317602.027525000,10.0.0.4,10.0.0.2,ICMP,,,1,98,0
1773317603.051135000,10.0.0.2,10.0.0.4,ICMP,,,1,98,8
1773317603.051177000,10.0.0.4,10.0.0.2,ICMP,,,1,98,0
1773317616.379311000,10.0.0.3,10.0.0.5,ARP,,,1,42,1
1773317616.382542000,10.0.0.5,10.0.0.3,ARP,,,1,42,2
1773317616.386370000,10.0.0.3,10.0.0.5,ICMP,,,1,98,8
1773317616.387858000,10.0.0.5,10.0.0.3,ICMP,,,1,98,0
1773317617.379669000,10.0.0.3,10.0.0.5,ICMP,,,1,98,8
1773317617.379721000,10.0.0.5,10.0.0.3,ICMP,,,1,98,0
1773317618.411198000,10.0.0.3,10.0.0.5,ICMP,,,1,98,8
1773317618.411242000,10.0.0.5,10.0.0.3,ICMP,,,1,98,0
1773317619.435247000,10.0.0.3,10.0.0.5,ICMP,,,1,98,8
1773317619.435291000,10.0.0.5,10.0.0.3,ICMP,,,1,98,0
1773317620.459163000,10.0.0.3,10.0.0.5,ICMP,,,1,98,8
1773317620.459206000,10.0.0.5,10.0.0.3,ICMP,,,1,98,0
1773317621.483111000,10.0.0.3,10.0.0.5,ICMP,,,1,98,8
1773317621.483153000,10.0.0.5,10.0.0.3,ICMP,,,1,98,0
1773317621.803515000,10.0.0.5,10.0.0.3,ARP,,,1,42,1
1773317621.803776000,10.0.0.3,10.0.0.5,ARP,,,1,42,2
1773317622.507076000,10.0.0.3,10.0.0.5,ICMP,,,1,98,8
1773317622.507127000,10.0.0.5,10.0.0.3,ICMP,,,1,98,0
1773317623.531143000,10.0.0.3,10.0.0.5,ICMP,,,1,98,8
1773317623.531184000,10.0.0.5,10.0.0.3,ICMP,,,1,98,0
1773317624.555301000,10.0.0.3,10.0.0.5,ICMP,,,1,98,8
1773317624.555344000,10.0.0.5,10.0.0.3,ICMP,,,1,98,0
1773317625.579155000,10.0.0.3,10.0.0.5,ICMP,,,1,98,8
1773317625.579199000,10.0.0.5,10.0.0.3,ICMP,,,1,98,0
