timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_count,bytes,flag
1773320435.981752000,10.0.0.2,10.0.0.4,ARP,,,1,42,1
1773320435.982632000,10.0.0.4,10.0.0.2,ARP,,,1,42,2
1773320443.946984000,fe80::3c0c:f7ff:fea4:b9e4,ff02::2,ICMPv6,,,1,70,133
1773320449.040442000,10.0.0.2,10.0.0.4,TCP,38446,1025,1,58,
1773320449.040480000,10.0.0.2,10.0.0.4,TCP,38446,135,1,58,
1773320449.040494000,10.0.0.2,10.0.0.4,TCP,38446,23,1,58,
1773320449.040506000,10.0.0.2,10.0.0.4,TCP,38446,143,1,58,
1773320449.040518000,10.0.0.2,10.0.0.4,TCP,38446,256,1,58,
1773320449.040530000,10.0.0.2,10.0.0.4,TCP,38446,199,1,58,
1773320449.040542000,10.0.0.2,10.0.0.4,TCP,38446,1723,1,58,
1773320449.040574000,10.0.0.2,10.0.0.4,TCP,38446,445,1,58,
1773320449.040586000,10.0.0.2,10.0.0.4,TCP,38446,22,1,58,
1773320449.040598000,10.0.0.2,10.0.0.4,TCP,38446,587,1,58,
1773320449.040979000,10.0.0.4,10.0.0.2,TCP,1025,38446,1,54,
1773320449.041003000,10.0.0.4,10.0.0.2,TCP,135,38446,1,54,
1773320449.041015000,10.0.0.4,10.0.0.2,TCP,23,38446,1,54,
1773320449.041027000,10.0.0.4,10.0.0.2,TCP,143,38446,1,54,
1773320449.041037000,10.0.0.4,10.0.0.2,TCP,256,38446,1,54,
1773320449.041047000,10.0.0.4,10.0.0.2,TCP,199,38446,1,54,
1773320449.041058000,10.0.0.4,10.0.0.2,TCP,1723,38446,1,54,
1773320449.041088000,10.0.0.4,10.0.0.2,TCP,445,38446,1,54,
1773320449.041162000,10.0.0.4,10.0.0.2,TCP,22,38446,1,54,
1773320449.041173000,10.0.0.4,10.0.0.2,TCP,587,38446,1,54,
1773320449.041462000,10.0.0.2,10.0.0.4,TCP,38446,53,1,58,
1773320449.041491000,10.0.0.4,10.0.0.2,TCP,53,38446,1,54,
1773320449.041509000,10.0.0.2,10.0.0.4,TCP,38446,80,1,58,
1773320449.041531000,10.0.0.4,10.0.0.2,TCP,80,38446,1,58,
1773320449.041541000,10.0.0.2,10.0.0.4,TCP,38446,80,1,54,
1773320449.041556000,10.0.0.2,10.0.0.4,TCP,38446,110,1,58,
1773320449.041564000,10.0.0.4,10.0.0.2,TCP,110,38446,1,54,
1773320449.041575000,10.0.0.2,10.0.0.4,TCP,38446,554,1,58,
1773320449.041582000,10.0.0.4,10.0.0.2,TCP,554,38446,1,54,
1773320449.041592000,10.0.0.2,10.0.0.4,TCP,38446,25,1,58,
1773320449.041599000,10.0.0.4,10.0.0.2,TCP,25,38446,1,54,
1773320449.041612000,10.0.0.2,10.0.0.4,TCP,38446,995,1,58,
1773320449.041619000,10.0.0.4,10.0.0.2,TCP,995,38446,1,54,
1773320449.041629000,10.0.0.2,10.0.0.4,TCP,38446,5900,1,58,
1773320449.041636000,10.0.0.4,10.0.0.2,TCP,5900,38446,1,54,
1773320449.041646000,10.0.0.2,10.0.0.4,TCP,38446,21,1,58,
1773320449.041653000,10.0.0.4,10.0.0.2,TCP,21,38446,1,54,
1773320449.041664000,10.0.0.2,10.0.0.4,TCP,38446,113,1,58,
1773320449.041671000,10.0.0.4,10.0.0.2,TCP,113,38446,1,54,
1773320449.041682000,10.0.0.2,10.0.0.4,TCP,38446,3306,1,58,
1773320449.041689000,10.0.0.4,10.0.0.2,TCP,3306,38446,1,54,
1773320449.041700000,10.0.0.2,10.0.0.4,TCP,38446,3389,1,58,
1773320449.041707000,10.0.0.4,10.0.0.2,TCP,3389,38446,1,54,
1773320449.041717000,10.0.0.2,10.0.0.4,TCP,38446,111,1,58,
1773320449.041723000,10.0.0.4,10.0.0.2,TCP,111,38446,1,54,
1773320449.041734000,10.0.0.2,10.0.0.4,TCP,38446,139,1,58,
1773320449.041740000,10.0.0.4,10.0.0.2,TCP,139,38446,1,54,
1773320449.041750000,10.0.0.2,10.0.0.4,TCP,38446,8080,1,58,
1773320449.041757000,10.0.0.4,10.0.0.2,TCP,8080,38446,1,54,
1773320449.041767000,10.0.0.2,10.0.0.4,TCP,38446,8888,1,58,
1773320449.041774000,10.0.0.4,10.0.0.2,TCP,8888,38446,1,54,
1773320449.041785000,10.0.0.2,10.0.0.4,TCP,38446,993,1,58,
1773320449.041792000,10.0.0.4,10.0.0.2,TCP,993,38446,1,54,
1773320449.041801000,10.0.0.2,10.0.0.4,TCP,38446,1720,1,58,
1773320449.041808000,10.0.0.4,10.0.0.2,TCP,1720,38446,1,54,
1773320449.041817000,10.0.0.2,10.0.0.4,TCP,38446,443,1,58,
1773320449.041823000,10.0.0.4,10.0.0.2,TCP,443,38446,1,54,
1773320449.041833000,10.0.0.2,10.0.0.4,TCP,38446,3000,1,58,
1773320449.041839000,10.0.0.4,10.0.0.2,TCP,3000,38446,1,54,
1773320449.041848000,10.0.0.2,10.0.0.4,TCP,38446,10616,1,58,
1773320449.041854000,10.0.0.4,10.0.0.2,TCP,10616,38446,1,54,
1773320449.041922000,10.0.0.2,10.0.0.4,TCP,38446,1984,1,58,
1773320449.041928000,10.0.0.4,10.0.0.2,TCP,1984,38446,1,54,
1773320449.041937000,10.0.0.2,10.0.0.4,TCP,38446,5060,1,58,
1773320449.041943000,10.0.0.4,10.0.0.2,TCP,5060,38446,1,54,
1773320449.041962000,10.0.0.2,10.0.0.4,TCP,38446,3995,1,58,
1773320449.041969000,10.0.0.4,10.0.0.2,TCP,3995,38446,1,54,
1773320449.041979000,10.0.0.2,10.0.0.4,TCP,38446,32770,1,58,
1773320449.041986000,10.0.0.4,10.0.0.2,TCP,32770,38446,1,54,
1773320449.041995000,10.0.0.2,10.0.0.4,TCP,38446,13,1,58,
1773320449.042001000,10.0.0.4,10.0.0.2,TCP,13,38446,1,54,
1773320449.042010000,10.0.0.2,10.0.0.4,TCP,38446,1079,1,58,
1773320449.042016000,10.0.0.4,10.0.0.2,TCP,1079,38446,1,54,
1773320449.042026000,10.0.0.2,10.0.0.4,TCP,38446,1300,1,58,
1773320449.042032000,10.0.0.4,10.0.0.2,TCP,1300,38446,1,54,
1773320449.042042000,10.0.0.2,10.0.0.4,TCP,38446,10009,1,58,
1773320449.042049000,10.0.0.4,10.0.0.2,TCP,10009,38446,1,54,
1773320449.042059000,10.0.0.2,10.0.0.4,TCP,38446,5810,1,58,
1773320449.042065000,10.0.0.4,10.0.0.2,TCP,5810,38446,1,54,
1773320449.042074000,10.0.0.2,10.0.0.4,TCP,38446,109,1,58,
1773320449.042081000,10.0.0.4,10.0.0.2,TCP,109,38446,1,54,
1773320449.042090000,10.0.0.2,10.0.0.4,TCP,38446,5850,1,58,
1773320449.042096000,10.0.0.4,10.0.0.2,TCP,5850,38446,1,54,
1773320449.042105000,10.0.0.2,10.0.0.4,TCP,38446,28201,1,58,
1773320449.042111000,10.0.0.4,10.0.0.2,TCP,28201,38446,1,54,
1773320449.042121000,10.0.0.2,10.0.0.4,TCP,38446,3918,1,58,
1773320449.042127000,10.0.0.4,10.0.0.2,TCP,3918,38446,1,54,
1773320449.042136000,10.0.0.2,10.0.0.4,TCP,38446,3,1,58,
1773320449.042142000,10.0.0.4,10.0.0.2,TCP,3,38446,1,54,
1773320449.042151000,10.0.0.2,10.0.0.4,TCP,38446,16993,1,58,
1773320449.042158000,10.0.0.4,10.0.0.2,TCP,16993,38446,1,54,
1773320449.042167000,10.0.0.2,10.0.0.4,TCP,38446,7004,1,58,
1773320449.042173000,10.0.0.4,10.0.0.2,TCP,7004,38446,1,54,
1773320449.042183000,10.0.0.2,10.0.0.4,TCP,38446,58080,1,58,
1773320449.042189000,10.0.0.4,10.0.0.2,TCP,58080,38446,1,54,
1773320449.042203000,10.0.0.2,10.0.0.4,TCP,38446,15003,1,58,
1773320449.042209000,10.0.0.4,10.0.0.2,TCP,15003,38446,1,54,
