timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_count,bytes,flag
1773319770.157922000,fe80::e074:93ff:fef8:9a79,ff02::2,ICMPv6,,,1,70,133
1773319771.694228000,fe80::7c83:e4ff:fe4e:ddad,ff02::2,ICMPv6,,,1,70,133
1773319771.694319000,fe80::a8a8:1fff:fe6b:6369,ff02::2,ICMPv6,,,1,70,133
1773319774.251085000,fe80::487e:1eff:fe6e:599d,ff02::2,ICMPv6,,,1,70,133
1773319774.251133000,fe80::c419:8cff:fe08:33af,ff02::2,ICMPv6,,,1,70,133
1773319775.277773000,fe80::842:96ff:fe29:1c5b,ff02::2,ICMPv6,,,1,70,133
1773319775.659203000,fe80::c419:8cff:fe08:33af,ff02::fb,MDNS,5353,5353,1,107,
1773319776.299674000,fe80::487e:1eff:fe6e:599d,ff02::fb,MDNS,5353,5353,1,107,
1773319776.302534000,fe80::a082:d0ff:fea6:eba2,ff02::2,ICMPv6,,,1,70,133
1773319787.006740000,10.0.0.1,10.0.0.4,ARP,,,1,42,1
1773319787.010131000,10.0.0.4,10.0.0.1,ARP,,,1,42,2
1773319787.013741000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.015266000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.015994000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016053000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016215000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016224000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016341000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016363000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016387000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016393000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016405000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016410000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016422000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016427000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016439000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016444000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016455000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016460000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016472000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016477000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016489000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016494000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016505000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016510000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016522000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016527000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016539000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016544000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016555000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016560000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016572000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016577000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016588000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016593000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016605000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016610000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016622000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016626000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016638000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016643000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016654000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016659000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016671000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
1773319787.016676000,10.0.0.4,10.0.0.1,ICMP,,,1,98,0
1773319787.016687000,10.0.0.1,10.0.0.4,ICMP,,,1,98,8
