timestamp,src_ip,dst_ip,protocol,src_port,dst_port,packet_count,bytes,flag
2026-03-12 10:20:11,10.0.0.1,10.0.0.4,TCP,34567,80,20,1200,SYN
2026-03-12 10:20:12,10.0.0.2,10.0.0.4,TCP,45678,80,22,1400,SYN
2026-03-12 10:20:13,10.0.0.9,10.0.0.4,TCP,51000,80,500,25000,SYN
2026-03-12 10:20:14,10.0.0.9,10.0.0.5,TCP,51001,443,480,24000,SYN
2026-03-12 10:20:15,10.0.0.3,10.0.0.4,UDP,53000,53,15,900,NONE
2026-03-12 10:20:16,10.0.0.9,10.0.0.6,TCP,51002,22,450,22000,SYN
2026-03-12 10:20:17,10.0.0.7,10.0.0.8,TCP,52000,23,50,3000,SYN
2026-03-12 10:20:18,10.0.0.8,10.0.0.9,TCP,53001,3389,60,3500,SYN
2026-03-12 10:20:19,10.0.0.4,10.0.0.5,TCP,54000,80,350,15000,SYN
2026-03-12 10:20:20,10.0.0.10,10.0.0.11,TCP,55000,80,40,2000,ACK
